studio,domestic_gross,foreign_gross,year,title_new
BV,415000000.0,652000000.0,2010,toy story 3
BV,334200000.0,691300000.0,2010,alice in wonderland (2010)
WB,296000000.0,664300000.0,2010,harry potter and the deathly hallows part 1
WB,292600000.0,535700000.0,2010,inception
P/DW,238700000.0,513900000.0,2010,shrek forever after
Sum.,300500000.0,398000000.0,2010,the twilight saga: eclipse
Par.,312400000.0,311500000.0,2010,iron man 2
BV,200800000.0,391000000.0,2010,tangled
Uni.,251500000.0,291600000.0,2010,despicable me
P/DW,217600000.0,277300000.0,2010,how to train your dragon
WB,163200000.0,330000000.0,2010,clash of the titans (2010)
Fox,104400000.0,311300000.0,2010,the chronicles of narnia: the voyage of the dawn treader
Wein.,135500000.0,275400000.0,2010,the king's speech
BV,172100000.0,228000000.0,2010,tron legacy
Sony,176600000.0,182500000.0,2010,the karate kid
BV,90800000.0,245600000.0,2010,prince of persia: the sands of time
FoxS,107000000.0,222400000.0,2010,black swan
P/DW,148400000.0,173500000.0,2010,megamind
Uni.,105300000.0,216400000.0,2010,robin hood
Par.,131800000.0,187900000.0,2010,the last airbender
Uni.,148400000.0,162200000.0,2010,little fockers
SGem,60100000.0,240100000.0,2010,resident evil: afterlife
Par.,128000000.0,166800000.0,2010,shutter island
Sony,118300000.0,175200000.0,2010,salt
WB (NL),95300000.0,193000000.0,2010,sex and the city 2
Sony,67600000.0,210700000.0,2010,the tourist
LGF,103100000.0,171400000.0,2010,the expendables
Sony,162000000.0,109400000.0,2010,grown ups
Fox,76400000.0,185500000.0,2010,knight & day
Par.,171200000.0,81000000.0,2010,true grit
Fox,42800000.0,194600000.0,2010,gulliver's travels
Fox,88800000.0,137700000.0,2010,percy jackson & the olympians: the lightning thief
Sony,97000000.0,128000000.0,2010,the social network
WB (NL),110500000.0,106000000.0,2010,valentine's day
BV,63200000.0,152100000.0,2010,the sorcerer's apprentice
WB,100500000.0,111200000.0,2010,due date
Sony,80600000.0,124000000.0,2010,eat pray love
WB,100200000.0,101300000.0,2010,yogi bear
Sum.,90400000.0,108600000.0,2010,red
Par.,84800000.0,92800000.0,2010,paranormal activity 2
Fox,77200000.0,100000000.0,2010,the a-team
Par.,117200000.0,54500000.0,2010,jackass 3-d
Sony,119200000.0,51200000.0,2010,the other guys
Fox,81600000.0,86200000.0,2010,unstoppable
BV,42400000.0,116900000.0,2010,step up 3-d
WB,94800000.0,62300000.0,2010,the book of eli
WB,92200000.0,61800000.0,2010,the town
Fox,98700000.0,53600000.0,2010,date night
WB,55700000.0,84400000.0,2010,legend of the guardians: the owls of ga'hoole
Uni.,62000000.0,77800000.0,2010,the wolfman
Sony,67099999.0,69300000.0,2010,the bounty hunter
LGF,45700000.0,90400000.0,2010,saw 3d
Fox,52500000.0,82300000.0,2010,wall street: money never sleeps
Par.,93600000.0,35600000.0,2010,the fighter
Fox,52000000.0,75200000.0,2010,predators
WB (NL),63100000.0,52600000.0,2010,a nightmare on elm street (2010)
SGem,80000000.0,35000000.0,2010,dear john
WB,43600000.0,68900000.0,2010,cats & dogs: the revenge of kitty galore
Fox,60000000.0,52400000.0,2010,tooth fairy
WB,53400000.0,52300000.0,2010,life as we know it
WB,32700000.0,72500000.0,2010,hereafter
MBox,10100000.0,94300000.0,2010,the girl with the dragon tattoo
Fox,32400000.0,70500000.0,2010,love and other drugs
CL,63000.0,100200000.0,2010,aftershock (tangshan dadizhen)
LGF,47100000.0,51100000.0,2010,killers
LGF,48100000.0,48100000.0,2010,kick-ass
Uni.,35100000.0,59800000.0,2010,green zone
Uni.,29000000.0,64200000.0,2010,nanny mcphee returns
Uni.,61000000.0,30300000.0,2010,get him to the greek
SGem,39400000.0,50100000.0,2010,burlesque
BV,63000000.0,26100000.0,2010,the last song
P/DW,73000000.0,13800000.0,2010,dinner for schmucks
Fox,33600000.0,50100000.0,2010,marmaduke
W/Dim.,25000000.0,58200000.0,2010,piranha 3d
BV,19400000.0,63200000.0,2010,oceans
WB,43300000.0,37800000.0,2010,edge of darkness
Fox,36700000.0,43900000.0,2010,vampires suck
Sum.,53000000.0,26100000.0,2010,letters to juliet
CBS,37500000.0,40000000.0,2010,the back-up plan
CL,427000.0,75600000.0,2010,if you are the one 2 (fei cheng wu rao ii)
Fox,64000000.0,11700000.0,2010,diary of a wimpy kid
SGem,58400000.0,16600000.0,2010,easy a
WB,52400000.0,21500000.0,2010,hubble 3d
SGem,57700000.0,11300000.0,2010,takers
BV,48500.0,68600000.0,2010,tales from earthsea
SGem,40200000.0,27800000.0,2010,legion (2010)
Focus,35600000.0,32299999.0,2010,the american
LGF,41000000.0,26700000.0,2010,the last exorcism
LGF,21100000.0,46300000.0,2010,the next three days
MBox,7600000.0,59500000.0,2010,the girl who played with fire
Uni.,21400000.0,45400000.0,2010,skyline
MGM,50300000.0,14300000.0,2010,hot tub time machine
Uni.,33600000.0,29100000.0,2010,devil
FoxS,18300000.0,42400000.0,2010,127 hours
LGF,60100000.0,578000.0,2010,tyler perry's why did i get married too?
BV,59700000.0,537000.0,2010,secretariat
Sum.,15500000.0,44700000.0,2010,the ghost writer
Par.,31000000.0,29000000.0,2010,morning glory
Sum.,19100000.0,37000000.0,2010,remember me
WB,44900000.0,10700000.0,2010,cop out
Over.,39100000.0,15700000.0,2010,the crazies
LGF,24100000.0,28700000.0,2010,from paris with love
LGF,30100000.0,21300000.0,2010,daybreakers
LGF,25100000.0,25400000.0,2010,alpha and omega
Mira.,27800000.0,22100000.0,2010,the switch
Par.,32000000.0,17800000.0,2010,she's out of my league
SGem,42700000.0,6300000.0,2010,death at a funeral (2010)
Sony,30200000.0,18500000.0,2010,how do you know
Uni.,31200000.0,17000000.0,2010,charlie st. cloud
Uni.,31500000.0,16100000.0,2010,scott pilgrim vs. the world
IFC,504000.0,46900000.0,2010,heartbreaker
LGF,24300000.0,20900000.0,2010,the spy next door
