movie_id,year,genres,averagerating,numvotes,title_new
tt0063540,2013,"Action,Crime,Drama",7.0,77,sunghursh
tt0066787,2019,"Biography,Drama",7.2,43,one day before the rainy season
tt0069049,2018,Drama,6.9,4517,the other side of the wind
tt0069204,2018,"Comedy,Drama",6.1,13,sabse bada sukh
tt0100275,2017,"Comedy,Drama,Fantasy",6.5,119,the wandering soap opera
tt0112502,2017,"Horror,Thriller",4.1,32,bigfoot
tt0137204,2017,"Adventure,Animation,Comedy",8.1,263,joe finds grace
tt0146592,2010,Drama,6.8,451,pál adrienn
tt0154039,2010,History,4.6,64,so much for justice!
tt0159369,2013,Documentary,7.6,53,cooper and hemingway: the true gen
tt0162942,2010,Drama,6.9,120,children of the green dragon
tt0170651,2018,Documentary,7.5,6,t.g.m. - osvoboditel
tt0176694,2011,"Animation,Drama,History",7.8,584,the tragedy of man
tt0192528,2018,Drama,4.0,72,heaven & hell
tt0230212,2010,Drama,8.8,8,the final journey
tt0247643,2011,"Drama,Mystery",4.0,12,los pájaros se van con la muerte
tt0249516,2012,"Action,Animation,Comedy",1.9,8248,foodfight!
tt0250404,2012,"Crime,Drama",6.7,236,godfather
tt0253093,2018,Unknown,6.6,8,gangavataran
tt0255820,2013,"Biography,Comedy,Drama",5.9,123,return to babylon
tt0262218,2012,Documentary,7.8,22,akakis mogzauroba
tt0263814,2019,Drama,7.1,100,on kadin
tt0276568,2018,"Action,Drama",7.4,5,to chase a million
tt0277964,2018,"Documentary,History",7.0,31,prague: the restless heart of europe
tt0283440,2015,Sci-Fi,6.6,16,short time heroes
tt0285252,2012,Comedy,3.9,219,life's a beach
tt0285423,2019,Documentary,7.4,35,abolição
tt0293069,2012,Thriller,6.6,1053,dark blood
tt0297400,2015,"Crime,Drama",6.7,77,snowblind
tt0306058,2012,Unknown,5.5,20,second coming
tt0312305,2010,"Adventure,Animation,Sci-Fi",5.1,287,quantum quest: a cassini space odyssey
tt0315642,2016,"Action,Crime,Drama",7.1,15378,wazir
tt0323808,2011,"Drama,Horror",3.9,2328,the wicker tree
tt0326592,2010,Unknown,7.5,24,the overnight
tt0326965,2010,"Drama,Mystery,Thriller",5.5,1889,in my sleep
tt0328810,2018,"Drama,Family",7.9,61,my land
tt0329539,2014,"Adventure,Comedy,Romance",6.1,73,rice girl
tt0330811,2011,Unknown,6.2,10,regret not speaking
tt0330987,2014,Unknown,6.3,6,"tiden är en dröm, del 2"
tt0331312,2010,"Comedy,Drama",7.6,59,this wretched life
tt0331314,2017,"Adventure,Animation,Comedy",5.0,302,bunyan and babe
tt0337692,2012,"Adventure,Drama,Romance",6.1,37886,on the road
tt0337882,2010,"Comedy,Crime,Drama",7.4,14,blind sided
tt0337926,2015,Biography,6.0,558,chatô - the king of brazil
tt0339736,2017,Horror,5.6,2420,the evil within
tt0346045,2015,"Comedy,Drama",6.7,35,transeúntes
tt0357717,2018,Drama,5.1,9,haar jeet
