title,year,studio,production_budget,foreign_gross,domestic_gross,worldwide_gross,genres,rating,votes
toy story 3,2010,BV,200000000,652000000.0,415004880,1068879522,"Adventure,Animation,Comedy",8.3,682218
inception,2010,WB,160000000,535700000.0,292576195,835524642,"Action,Adventure,Sci-Fi",8.8,1841066
shrek forever after,2010,P/DW,165000000,513900000.0,238736787,756244673,"Adventure,Animation,Comedy",6.3,167532
the twilight saga: eclipse,2010,Sum.,68000000,398000000.0,300531751,706102828,"Adventure,Drama,Fantasy",5.0,211733
iron man 2,2010,Par.,170000000,311500000.0,312433331,621156389,"Action,Adventure,Sci-Fi",7.0,657690
tangled,2010,BV,260000000,391000000.0,200821936,586477240,"Adventure,Animation,Comedy",7.8,366366
despicable me,2010,Uni.,69000000,291600000.0,251513985,543464573,"Animation,Comedy,Family",7.7,464511
how to train your dragon,2010,P/DW,165000000,277300000.0,217581232,494870992,"Action,Adventure,Animation",8.1,611299
the chronicles of narnia: the voyage of the dawn treader,2010,Fox,155000000,311300000.0,104386950,418186950,"Adventure,Family,Fantasy",6.3,129663
the karate kid,2010,Sony,40000000,182500000.0,176591618,351774938,"Action,Drama,Family",6.2,146401
black swan,2010,FoxS,13000000,222400000.0,106954678,331266710,"Drama,Thriller",8.0,648854
megamind,2010,P/DW,130000000,173500000.0,148415853,321887208,"Action,Animation,Comedy",7.3,207488
robin hood,2010,Uni.,210000000,216400000.0,105487148,322459006,"Action,Adventure,Drama",6.6,239480
the last airbender,2010,Par.,150000000,187900000.0,131772187,319713881,"Action,Adventure,Family",4.1,137734
little fockers,2010,Uni.,100000000,162200000.0,148438600,310650574,"Comedy,Romance",5.5,99222
resident evil: afterlife,2010,SGem,57500000,240100000.0,60128566,295874190,"Action,Adventure,Horror",5.9,153270
shutter island,2010,Par.,80000000,166800000.0,128012934,299461782,"Mystery,Thriller",8.1,1005960
salt,2010,Sony,130000000,175200000.0,118311368,290650494,"Action,Mystery,Thriller",6.4,277204
sex and the city 2,2010,WB (NL),95000000,193000000.0,95347692,294680778,"Comedy,Drama,Romance",4.4,69199
the tourist,2010,Sony,100000000,210700000.0,67631157,278731369,"Action,Adventure,Thriller",6.0,206714
the expendables,2010,LGF,82000000,171400000.0,103068524,268268174,"Action,Adventure,Thriller",6.5,307897
grown ups,2010,Sony,75000000,109400000.0,162001186,272223430,Comedy,6.0,210377
true grit,2010,Par.,35000000,81000000.0,171243005,252276928,"Adventure,Drama,Western",7.6,284034
gulliver's travels,2010,Fox,112000000,194600000.0,42779261,232017848,"Adventure,Comedy,Family",4.9,61178
percy jackson & the olympians: the lightning thief,2010,Fox,95000000,137700000.0,88768303,223050874,"Adventure,Family,Fantasy",5.9,165108
the social network,2010,Sony,40000000,128000000.0,96962694,224922135,"Biography,Drama",7.7,568578
valentine's day,2010,WB (NL),52000000,106000000.0,110485654,217569328,"Comedy,Romance",5.7,107171
the sorcerer's apprentice,2010,BV,160000000,152100000.0,63150991,217986320,"Action,Adventure,Family",6.1,143862
due date,2010,WB,65000000,111200000.0,100539043,211739043,"Adventure,Comedy",6.5,303523
eat pray love,2010,Sony,60000000,124000000.0,80574010,206598789,"Drama,Romance",5.8,77709
yogi bear,2010,WB,80000000,101300000.0,100246011,204774690,"Adventure,Animation,Comedy",4.6,18934
red,2010,Sum.,60000000,108600000.0,90380162,196439693,"Action,Comedy,Crime",7.1,271570
paranormal activity 2,2010,Par.,3000000,92800000.0,84752907,177512032,Horror,5.7,93122
the a-team,2010,Fox,110000000,100000000.0,77222099,177241171,"Action,Adventure,Thriller",6.8,235256
the other guys,2010,Sony,100000000,51200000.0,119219978,170936470,"Action,Comedy,Crime",6.7,221664
unstoppable,2010,Fox,95000000,86200000.0,81562942,165720921,"Action,Thriller",6.8,173019
the book of eli,2010,WB,80000000,62300000.0,94835059,158750817,"Action,Adventure,Drama",6.9,271307
the town,2010,WB,37000000,61800000.0,92186262,152566881,"Crime,Drama,Thriller",7.6,322524
date night,2010,Fox,55000000,53600000.0,98711404,152269033,"Comedy,Crime,Romance",6.3,144683
legend of the guardians: the owls of ga'hoole,2010,WB,100000000,84400000.0,55675313,139716717,"Action,Adventure,Animation",7.0,73790
the wolfman,2010,Uni.,150000000,77800000.0,62189884,142634358,"Drama,Fantasy,Horror",5.8,97873
the bounty hunter,2010,Sony,45000000,69300000.0,67061228,135808837,"Action,Comedy,Romance",5.6,112444
the bounty hunter,2010,Sony,45000000,69300000.0,67061228,135808837,Unknown,6.3,29
the fighter,2010,Par.,11000000,35600000.0,93617009,129262388,"Biography,Drama,Sport",7.8,316539
predators,2010,Fox,40000000,75200000.0,52000688,127234389,"Action,Adventure,Sci-Fi",6.4,199764
dear john,2010,SGem,25000000,35000000.0,80014842,142033509,"Drama,Romance,War",6.3,128657
cats & dogs: the revenge of kitty galore,2010,WB,85000000,68900000.0,43585753,113026383,"Action,Comedy,Family",4.3,12642
tooth fairy,2010,Fox,48000000,52400000.0,60022256,112610386,"Comedy,Family,Fantasy",5.0,37939
life as we know it,2010,WB,38000000,52300000.0,53374681,105887837,"Comedy,Drama,Romance",6.6,113077
hereafter,2010,WB,50000000,72500000.0,32746941,108660270,"Drama,Fantasy,Romance",6.5,87288
killers,2010,LGF,75000000,51100000.0,47059963,95572749,"Action,Comedy,Romance",5.4,82237
kick-ass,2010,LGF,28000000,48100000.0,48071303,97531134,"Action,Comedy",7.6,497363
green zone,2010,Uni.,100000000,59800000.0,35497337,97523020,"Action,Drama,Thriller",6.8,122132
get him to the greek,2010,Uni.,40000000,30300000.0,61153526,91455875,"Adventure,Comedy,Music",6.4,161653
burlesque,2010,SGem,55000000,50100000.0,39440655,90552675,"Drama,Music,Musical",6.4,71021
burlesque,2010,SGem,55000000,50100000.0,39440655,90552675,Drama,7.0,45
the last song,2010,BV,20000000,26100000.0,62950384,92678948,"Drama,Music,Romance",6.0,74914
dinner for schmucks,2010,P/DW,69000000,13800000.0,73026337,86796502,Comedy,5.9,91546
marmaduke,2010,Fox,50000000,50100000.0,33644788,89895930,"Comedy,Family",4.2,13283
piranha 3d,2010,W/Dim.,24000000,58200000.0,25003155,83660160,"Comedy,Horror",5.4,81327
edge of darkness,2010,WB,60000000,37800000.0,43313890,82812456,"Crime,Drama,Mystery",6.6,84753
vampires suck,2010,Fox,20000000,43900000.0,36661504,81424988,Comedy,3.4,43984
letters to juliet,2010,Sum.,30000000,26100000.0,53032453,82148538,"Adventure,Comedy,Drama",6.6,86137
the back-up plan,2010,CBS,35000000,40000000.0,37490007,75281179,"Comedy,Romance",5.4,46128
diary of a wimpy kid,2010,Fox,15000000,11700000.0,64003625,76954311,"Comedy,Drama,Family",6.2,38640
easy a,2010,SGem,8000000,16600000.0,58401464,76200721,"Comedy,Drama,Romance",7.1,330125
takers,2010,SGem,32000000,11300000.0,57744720,70587268,"Action,Crime,Thriller",6.2,53377
the american,2010,Focus,20000000,32299999.0,35606376,67950723,"Crime,Drama,Thriller",6.3,86863
the last exorcism,2010,LGF,1800000,26700000.0,41034350,70165900,"Drama,Horror,Thriller",5.6,45815
the next three days,2010,LGF,30000000,46300000.0,21148651,67255916,"Action,Crime,Drama",7.4,168066
skyline,2010,Uni.,10000000,45400000.0,21416355,68264973,"Action,Sci-Fi,Thriller",4.4,83710
hot tub time machine,2010,MGM,36000000,14300000.0,50269859,65967750,"Comedy,Sci-Fi",6.4,153962
devil,2010,Uni.,10000000,29100000.0,33679655,63354114,"Horror,Mystery,Thriller",6.2,122080
127 hours,2010,FoxS,18000000,42400000.0,18335230,60217171,"Adventure,Biography,Drama",7.6,323949
secretariat,2010,BV,35000000,537000.0,59699513,60376247,"Biography,Drama,Family",7.2,24536
the ghost writer,2010,Sum.,45000000,44700000.0,15541549,65532491,"Drama,Mystery,Thriller",7.2,148274
morning glory,2010,Par.,40000000,29000000.0,31011732,59795070,"Comedy,Drama,Romance",6.5,67367
remember me,2010,Sum.,16000000,37000000.0,19068240,56506120,"Drama,Romance",7.1,129443
cop out,2010,WB,37000000,10700000.0,44875481,55909910,"Action,Comedy,Crime",5.6,81656
the crazies,2010,Over.,19000000,15700000.0,39123589,56445534,"Horror,Thriller",6.5,104465
from paris with love,2010,LGF,52000000,28700000.0,24077427,53139168,"Action,Crime,Thriller",6.5,107079
the switch,2010,Mira.,19000000,22100000.0,27758465,49858465,"Comedy,Drama,Romance",6.1,90661
she's out of my league,2010,Par.,20000000,17800000.0,32010860,48680977,"Comedy,Romance",6.4,117245
charlie st. cloud,2010,Uni.,44000000,17000000.0,31206263,48478084,"Drama,Fantasy,Romance",6.5,55016
scott pilgrim vs. the world,2010,Uni.,85000000,16100000.0,31611316,48056764,"Action,Comedy,Fantasy",7.5,339338
the spy next door,2010,LGF,28000000,20900000.0,24307106,46752858,"Action,Comedy,Family",5.5,36767
machete,2010,Fox,12500000,17500000.0,26593646,46370970,"Action,Crime,Thriller",6.6,182320
my name is khan,2010,FoxS,8470000,38300000.0,4046336,42355526,Drama,8.0,90988
going the distance,2010,WB (NL),32000000,24200000.0,17804299,43603990,"Comedy,Romance",6.3,54421
for colored girls,2010,LGF,21000000,17300.0,37729698,38017873,Drama,6.1,6728
furry vengeance,2010,Sum.,35000000,18600000.0,17630465,39340177,"Comedy,Family",3.8,14700
faster,2010,CBS,24000000,12400000.0,23240020,35792945,"Action,Crime,Drama",6.5,93618
the kids are all right,2010,Focus,4000000,13900000.0,20811365,36275469,"Comedy,Drama,Romance",7.0,120656
you will meet a tall dark stranger,2010,SPC,15000000,31000000.0,3247816,34247816,"Comedy,Drama,Romance",6.3,41608
leap year,2010,Uni.,19000000,6700000.0,25918920,32618920,"Comedy,Romance",6.5,86125
leap year,2010,Uni.,19000000,6700000.0,25918920,32618920,"Drama,Romance",5.9,2211
you again,2010,BV,20000000,6300000.0,25702053,32838945,"Comedy,Family,Romance",5.8,46690
the losers,2010,WB,25000000,5800000.0,23591432,29863840,"Action,Adventure,Crime",6.4,83876
ramona and beezus,2010,Fox,15000000,1100000.0,26167002,27469621,"Adventure,Comedy,Family",6.6,16086
let me in,2010,Over.,20000000,12000000.0,12134935,28270399,"Drama,Fantasy,Horror",7.1,107012
just wright,2010,FoxS,12000000,29900.0,21540363,21867665,"Comedy,Romance,Sport",5.9,12466
our family wedding,2010,FoxS,14000000,1200000.0,20255281,21410546,"Comedy,Romance",4.9,6417
my soul to take,2010,Uni.,25000000,6200000.0,14744435,16727470,"Horror,Mystery,Thriller",4.8,18381
country strong,2010,SGem,15000000,310000.0,20218921,20601987,"Drama,Music",6.3,16296
another year,2010,SPC,8000000,16500000.0,3205706,20005613,"Comedy,Drama",7.3,26273
buried,2010,LGF,1987650,18100000.0,1044143,21270290,"Drama,Mystery,Thriller",7.0,139426
