id,production_budget,domestic_gross,worldwide_gross,year,title_new
1,425000000,760507625,2776345279,2009,avatar
2,410600000,241063875,1045663875,2011,pirates of the caribbean: on stranger tides
3,350000000,42762350,149762350,2019,dark phoenix
4,330600000,459005868,1403013963,2015,avengers: age of ultron
5,317000000,620181382,1316721747,2017,star wars ep. viii: the last jedi
6,306000000,936662225,2053311220,2015,star wars ep. vii: the force awakens
7,300000000,678815482,2048134200,2018,avengers: infinity war
8,300000000,309420425,963420425,2007,pirates of the caribbean: at worldâs end
9,300000000,229024295,655945209,2017,justice league
10,300000000,200074175,879620923,2015,spectre
11,275000000,448139099,1084439099,2012,the dark knight rises
12,275000000,213767512,393151347,2018,solo: a star wars story
13,275000000,89302115,260002115,2013,the lone ranger
14,275000000,73058679,282778100,2012,john carter
15,260000000,200821936,586477240,2010,tangled
16,258000000,336530303,894860230,2007,spider-man 3
17,250000000,408084349,1140069413,2016,captain america: civil war
18,250000000,330360194,867500281,2016,batman v superman: dawn of justice
19,250000000,303003568,1017003568,2012,the hobbit: an unexpected journey
20,250000000,302089278,935213767,2009,harry potter and the half-blood prince
21,250000000,258366855,960366855,2013,the hobbit: the desolation of smaug
22,250000000,255119788,945577621,2014,the hobbit: the battle of the five armies
23,250000000,225764765,1234846267,2017,the fate of the furious
24,232000000,200120000,374085065,2006,superman returns
25,230000000,172558876,788241137,2017,pirates of the caribbean: dead men tell no tales
26,230000000,169368427,591692078,2008,quantum of solace
27,225000000,623279547,1517935897,2012,the avengers
28,225000000,423315812,1066215812,2006,pirates of the caribbean: dead manâs chest
29,225000000,291045518,667999518,2013,man of steel
30,225000000,141621490,417341288,2008,the chronicles of narnia: prince caspian
31,220000000,262030663,757890267,2012,the amazing spider-man
32,220000000,65233400,313477717,2012,battleship
33,217000000,130168683,602893340,2017,transformers: the last knight
34,215000000,652270625,1648854864,2015,jurassic world
35,215000000,179020854,654213485,2012,men in black 3
36,210000000,402111870,836519699,2009,transformers: revenge of the fallen
37,210000000,245439076,1104039076,2014,transformers: age of extinction
38,210000000,234362462,459260946,2006,x-men: the last stand
39,210000000,105487148,322459006,2010,robin hood
